University,Major,Application Completed,Decision ,Result,GRE_Quant,GRE_Verbal,GRE_Total,GRE_AWA,TOEFL,IELTS,UG_Score,Scale
University of North Carolina at Charlotte,Computer Engineering,12/27/2014,2/13/2015,Admit,158,146,304,3,92,0,7.45,10
NONE OF THE ABOVE,Computer Engineering,12/20/2014,2/25/2015,Admit,160,152,312,3.5,105,0,7.68,10
NONE OF THE ABOVE,Computer Science,02-01-2015,02-06-2015,Admit,168,162,330,3.5,111,0,7.182,10
University of Texas at Arlington,Computer Science,12/26/2014,02-12-2015,Admit,158,143,301,3,78,6.5,7,10
University of Central Florida,Computer Science,12/26/2014,1/22/2015,Admit,158,143,301,3,78,6.5,7,10
Illinois Institute of Technology Chicago,Computer Science,12/26/2014,02-12-2015,Admit,158,143,301,3,78,6.5,7,10
University of Illinois Chicago,Management Information Systems,12-04-2014,02-04-2015,Admit,161,149,310,3,104,0,8.2,10
University of Illinois Chicago,Computer Engineering,11-09-2014,02-01-2015,Admit,166,145,311,3,87,0,8.1,10
University of Illinois Springfield,Management Information Systems,12/13/2014,2/25/2015,Admit,149,143,292,4,102,0,6.08,10
University of Houston Clear Lake,Computer Engineering,12-04-2014,1/29/2015,Admit,151,139,290,2,72,6,7.3,10
New York Institute of Technology,Computer Information Systems,01-02-2015,2/13/2015,Admit,151,139,290,2,72,6,7.3,10
University of California - Los Angeles,Computer Engineering,12/28/2014,02-07-2015,Admit,161,145,306,3,89,0,7.2,10
Binghamton University - SUNY,Computer Engineering,01-01-2015,02-11-2015,Admit,161,145,306,3,89,0,7.2,10
San Jose State University,Software Engineering,01-05-2015,2/28/2015,Admit,162,150,312,3,105,0,8.17,10
University of Southern California,Computer Science,12-03-2014,2/14/2015,Admit,166,151,317,4,112,0,9.1,10
Kent State University,Computer Science,11/25/2014,1/31/2015,Admit,150,150,300,3,85,0,7.2,10
Florida International University Miami,Computer Science,11/25/2014,2/27/2014,Admit,150,140,290,3,85,0,7.2,10
University of Illinois Chicago,Management Information Systems,11-08-2014,01-08-2015,Admit,161,150,311,4.5,104,0,6.22,10
George Mason University,Management Information Systems,11/13/2014,02-11-2015,Admit,161,150,311,4.5,104,0,6.22,10
University of Illinois Chicago,Computer Science,11/13/2014,1/27/2015,Admit,159,150,309,4.5,110,0,7,10
University of Texas at Dallas,Computer Science,11-10-2014,12-06-2014,Admit,159,150,309,4.5,110,0,7,10
